Name,Year,Miles,Price,model_avg_price,model_listing_count,Age,AgeBand,MileageBand,price_zscore
Ford F Super Cab,2013,72722,24590,24590.0,1,10,8-10,60-80k,0.3539979761846049
Jeep Grand Cherokee,2011,70958,18990,23092.367346938776,49,12,10-15,60-80k,-0.35214251541327846
Kia Optima,2020,60258,19990,17867.048076923078,104,3,2-4,60-80k,-0.22604599905651357
Hyundai Tucson,2017,57691,19590,20007.2,70,6,4-6,40-60k,-0.2764846055992195
Ford Edge,2014,40734,18590,20629.243243243243,74,9,8-10,40-60k,-0.4025811219559844
Ford Edge,2014,97280,16590,20629.243243243243,74,9,8-10,80-100k,-0.6547741546695142
Chevrolet Cruze,2014,54957,14990,15992.5,80,9,8-10,40-60k,-0.856528580840338
Honda Fit,2015,71159,16990,17112.222222222223,54,8,6-8,60-80k,-0.6043355481268082
Ford Escape,2018,53392,19590,19376.448,125,5,4-6,40-60k,-0.2764846055992195
Chevrolet Cruze,2018,20884,19590,15992.5,80,5,4-6,20-40k,-0.2764846055992195
Chevrolet Malibu,2018,31465,20990,19288.927536231884,69,5,4-6,20-40k,-0.09994948269974868
Ford Edge,2013,45668,16990,20629.243243243243,74,10,8-10,40-60k,-0.6043355481268082
Chevrolet Cruze,2013,90393,11990,15992.5,80,10,8-10,80-100k,-1.2348181299106327
Toyota Prius c,2014,75938,17590,17890.0,16,9,8-10,60-80k,-0.5286776383127493
Ford Escape,2018,43144,20990,19376.448,125,5,4-6,40-60k,-0.09994948269974868
Volkswagen Tiguan Limited,2018,48794,19590,18865.0,8,5,4-6,40-60k,-0.2764846055992195
Volkswagen Jetta,2019,7043,21990,17068.442477876106,113,4,2-4,0-20k,0.026147033657016195
MAZDA CX-,2016,32223,22990,23001.7,140,7,6-8,20-40k,0.15224355001378106
Kia Optima Hybrid,2015,93022,16590,17390.0,3,8,6-8,80-100k,-0.6547741546695142
MAZDA MX- Miata,2012,28322,18990,22241.28205128205,39,11,10-15,20-40k,-0.35214251541327846
Ford Mustang,2018,50572,24990,25856.117647058825,102,5,4-6,40-60k,0.4044365827273108
Toyota Corolla,2016,39997,17990,18560.486988847584,269,7,6-8,20-40k,-0.47823903177004334
Hyundai Elantra,2013,62125,14590,17041.33846153846,195,10,8-10,60-80k,-0.9069671873830439
Toyota Corolla,2022,6877,24990,18560.486988847584,269,1,0-2,0-20k,0.4044365827273108
Honda HR-V,2019,50696,22590,22338.0,43,4,2-4,40-60k,0.10180494347107512
GMC Terrain,2017,63418,20990,21643.57627118644,59,6,4-6,60-80k,-0.09994948269974868
Ford Fiesta,2019,57100,15590,14645.737704918032,61,4,2-4,40-60k,-0.780870671026279
Honda Accord,2014,66651,17990,20338.34351145038,131,9,8-10,60-80k,-0.47823903177004334
Kia Optima,2017,52304,19590,17867.048076923078,104,6,4-6,40-60k,-0.2764846055992195
MAZDA CX-,2018,37309,23990,23001.7,140,5,4-6,20-40k,0.278340066370546
Honda Fit,2015,39887,18590,17112.222222222223,54,8,6-8,20-40k,-0.4025811219559844
Lexus IS,2011,85213,17990,23340.0,28,12,10-15,80-100k,-0.47823903177004334
Toyota Corolla,2020,71698,21990,18560.486988847584,269,3,2-4,60-80k,0.026147033657016195
Toyota C-HR,2018,7188,24590,23407.366666666665,30,5,4-6,0-20k,0.3539979761846049
Hyundai Veloster,2013,95183,13990,17090.3125,32,10,8-10,80-100k,-0.9826250971971029
Ford Fusion,2013,27280,16590,18113.032,125,10,8-10,20-40k,-0.6547741546695142
Kia Sorento,2019,95731,18990,21217.59405940594,101,4,2-4,80-100k,-0.35214251541327846
Ford Edge,2019,43262,24990,20629.243243243243,74,4,2-4,40-60k,0.4044365827273108
Chevrolet Cruze Limited,2016,95259,14590,14818.57142857143,14,7,6-8,80-100k,-0.9069671873830439
Buick Encore,2016,62354,16990,18820.149425287356,87,7,6-8,60-80k,-0.6043355481268082
Kia Sorento,2020,50948,22990,21217.59405940594,101,3,2-4,40-60k,0.15224355001378106
Jeep Wrangler,2013,54647,24990,26477.5,32,10,8-10,40-60k,0.4044365827273108
Nissan LEAF,2015,48948,13990,19142.63157894737,38,8,6-8,40-60k,-0.9826250971971029
Mercedes-Benz GLA,2016,52811,24590,28110.0,10,7,6-8,40-60k,0.3539979761846049
Nissan Rogue,2015,79605,18990,20382.880165289258,242,8,6-8,60-80k,-0.35214251541327846
Ford EcoSport,2020,45318,19990,19908.256756756757,74,3,2-4,40-60k,-0.22604599905651357
Jeep Renegade,2016,60940,17590,20176.3661971831,71,7,6-8,60-80k,-0.5286776383127493
Toyota Avalon,2013,26331,23590,23526.363636363636,22,10,8-10,20-40k,0.22790145982784
Dodge Charger,2016,71244,22990,27191.571428571428,35,7,6-8,60-80k,0.15224355001378106
Cadillac CTS,2012,46051,18990,22603.333333333332,15,11,10-15,40-60k,-0.35214251541327846
Scion FR-S,2016,51148,22990,21732.85714285714,7,7,6-8,40-60k,0.15224355001378106
Honda Civic,2014,79870,16590,18925.32380952381,210,9,8-10,60-80k,-0.6547741546695142
Chevrolet Cruze Limited,2016,74996,14590,14818.57142857143,14,7,6-8,60-80k,-0.9069671873830439
Dodge Grand Caravan Passenger,2017,104396,15990,18365.342465753423,73,6,4-6,100-130k,-0.7304320644835731
Nissan Maxima,2017,80611,23590,24153.521739130436,23,6,4-6,80-100k,0.22790145982784
Jeep Grand Cherokee,2015,92096,20990,23092.367346938776,49,8,6-8,80-100k,-0.09994948269974868
Chevrolet Equinox,2013,41528,16990,19319.105263157893,171,10,8-10,40-60k,-0.6043355481268082
GMC Acadia,2015,77621,22990,26526.174603174604,63,8,6-8,60-80k,0.15224355001378106
Kia Soul,2018,31395,18990,17106.064516129034,124,5,4-6,20-40k,-0.35214251541327846
Chevrolet Malibu,2017,51483,22590,19288.927536231884,69,6,4-6,40-60k,0.10180494347107512
Buick Enclave,2015,57976,22590,25804.4,25,8,6-8,40-60k,0.10180494347107512
Kia Sportage,2018,42221,19990,20804.091954022988,87,5,4-6,40-60k,-0.22604599905651357
Ford Edge,2014,92876,15990,20629.243243243243,74,9,8-10,80-100k,-0.7304320644835731
Ford Mustang,2016,36364,23590,25856.117647058825,102,7,6-8,20-40k,0.22790145982784
Nissan Rogue,2020,70998,19990,20382.880165289258,242,3,2-4,60-80k,-0.22604599905651357
MAZDA MAZDA,2016,84297,18990,17840.6338028169,142,7,6-8,80-100k,-0.35214251541327846
